PN;UE;UN;R;UE!=UN;UE!=R;UN!=R;diffs;T
1;VREFDQ;VREFDQ;VREFDQ;0;0;0;0;VREFDQ
2;VSS;VSS;VSS;0;0;0;0;VSS
3;DQ0;DQ0;DQ0;0;0;0;0;DQ0
4;DQ1;DQ1;DQ1;0;0;0;0;DQ1
5;VSS;VSS;VSS;0;0;0;0;VSS
6;DQS0#;DQS0#;DQS0#;0;0;0;0;DQS0#
7;DQS0;DQS0;DQS0;0;0;0;0;DQS0
8;VSS;VSS;VSS;0;0;0;0;VSS
9;DQ2;DQ2;DQ2;0;0;0;0;DQ2
10;DQ3;DQ3;DQ3;0;0;0;0;DQ3
11;VSS;VSS;VSS;0;0;0;0;VSS
12;DQ8;DQ8;DQ8;0;0;0;0;DQ8
13;DQ9;DQ9;DQ9;0;0;0;0;DQ9
14;VSS;VSS;VSS;0;0;0;0;VSS
15;DQS1#;DQS1#;DQS1#;0;0;0;0;DQS1#
16;DQS1;DQS1;DQS1;0;0;0;0;DQS1
17;VSS;VSS;VSS;0;0;0;0;VSS
18;DQ10;DQ10;DQ10;0;0;0;0;DQ10
19;DQ11;DQ11;DQ11;0;0;0;0;DQ11
20;VSS;VSS;VSS;0;0;0;0;VSS
21;DQ16;DQ16;DQ16;0;0;0;0;DQ16
22;DQ17;DQ17;DQ17;0;0;0;0;DQ17
23;VSS;VSS;VSS;0;0;0;0;VSS
24;DQS2#;DQS2#;DQS2#;0;0;0;0;DQS2#
25;DQS2;DQS2;DQS2;0;0;0;0;DQS2
26;VSS;VSS;VSS;0;0;0;0;VSS
27;DQ18;DQ18;DQ18;0;0;0;0;DQ18
28;DQ19;DQ19;DQ19;0;0;0;0;DQ19
29;VSS;VSS;VSS;0;0;0;0;VSS
30;DQ24;DQ24;DQ24;0;0;0;0;DQ24
31;DQ25;DQ25;DQ25;0;0;0;0;DQ25
32;VSS;VSS;VSS;0;0;0;0;VSS
33;DQS3#;DQS3#;DQS3#;0;0;0;0;DQS3#
34;DQS3;DQS3;DQS3;0;0;0;0;DQS3
35;VSS;VSS;VSS;0;0;0;0;VSS
36;DQ26;DQ26;DQ26;0;0;0;0;DQ26
37;DQ27;DQ27;DQ27;0;0;0;0;DQ27
38;VSS;VSS;VSS;0;0;0;0;VSS
39;CB0;NC;CB0;1;0;1;2;ECC:CB0/NCC:NC
40;CB1;NC;CB1;1;0;1;2;ECC:CB1/NCC:NC
41;VSS;VSS;VSS;0;0;0;0;VSS
42;DQS8#;NC;DQS8#;1;0;1;2;ECC:DQS8#/NCC:NC
43;DQS8;NC;DQS8;1;0;1;2;ECC:DQS8/NCC:NC
44;VSS;VSS;VSS;0;0;0;0;VSS
45;CB2;NC;CB2;1;0;1;2;ECC:CB2/NCC:NC
46;CB3;NC;CB3;1;0;1;2;ECC:CB3/NCC:NC
47;VSS;VSS;VSS;0;0;0;0;VSS
48;NC;NC;VTT;0;1;1;2;U:NC/R:VTT
49;NC;NC;VTT;0;1;1;2;U:NC/R:VTT
50;CKE0;CKE0;CKE0;0;0;0;0;CKE0
51;VDD;VDD;VDD;0;0;0;0;VDD
52;BA2;BA2;BA2;0;0;0;0;BA2
53;NC;NC;Err_Out#;0;1;1;2;U:NC/R:Err_Out#
54;VDD;VDD;VDD;0;0;0;0;VDD
55;A11;A11;A11;0;0;0;0;A11
56;A7;A7;A7;0;0;0;0;A7
57;VDD;VDD;VDD;0;0;0;0;VDD
58;A5;A5;A5;0;0;0;0;A5
59;A4;A4;A4;0;0;0;0;A4
60;VDD;VDD;VDD;0;0;0;0;VDD
61;A2;A2;A2;0;0;0;0;A2
62;VDD;VDD;VDD;0;0;0;0;VDD
63;CK1;CK1;NF;0;1;1;2;U:CK1/R:NF
64;CK1#;CK1#;NF;0;1;1;2;U:CK1#/R:NF
65;VDD;VDD;VDD;0;0;0;0;VDD
66;VDD;VDD;VDD;0;0;0;0;VDD
67;VREFCA;VREFCA;VREFCA;0;0;0;0;VREFCA
68;NC;NC;Par_In;0;1;1;2;U:NC/R:Par_In
69;VDD;VDD;VDD;0;0;0;0;VDD
70;A10;A10;A10;0;0;0;0;A10
71;BA0;BA0;BA0;0;0;0;0;BA0
72;VDD;VDD;VDD;0;0;0;0;VDD
73;WE#;WE#;WE#;0;0;0;0;WE#
74;CAS#;CAS#;CAS#;0;0;0;0;CAS#
75;VDD;VDD;VDD;0;0;0;0;VDD
76;S1#;S1#;S1#;0;0;0;0;S1#
77;ODT1;ODT1;ODT1;0;0;0;0;ODT1
78;VDD;VDD;VDD;0;0;0;0;VDD
79;NC;NC;S2#;0;1;1;2;U:NC/R:S2#
80;VSS;VSS;VSS;0;0;0;0;VSS
81;DQ32;DQ32;DQ32;0;0;0;0;DQ32
82;DQ33;DQ33;DQ33;0;0;0;0;DQ33
83;VSS;VSS;VSS;0;0;0;0;VSS
84;DQS4#;DQS4#;DQS4#;0;0;0;0;DQS4#
85;DQS4;DQS4;DQS4;0;0;0;0;DQS4
86;VSS;VSS;VSS;0;0;0;0;VSS
87;DQ34;DQ34;DQ34;0;0;0;0;DQ34
88;DQ35;DQ35;DQ35;0;0;0;0;DQ35
89;VSS;VSS;VSS;0;0;0;0;VSS
90;DQ40;DQ40;DQ40;0;0;0;0;DQ40
91;DQ41;DQ41;DQ41;0;0;0;0;DQ41
92;VSS;VSS;VSS;0;0;0;0;VSS
93;DQS5#;DQS5#;DQS5#;0;0;0;0;DQS5#
94;DQS5;DQS5;DQS5;0;0;0;0;DQS5
95;VSS;VSS;VSS;0;0;0;0;VSS
96;DQ42;DQ42;DQ42;0;0;0;0;DQ42
97;DQ43;DQ43;DQ43;0;0;0;0;DQ43
98;VSS;VSS;VSS;0;0;0;0;VSS
99;DQ48;DQ48;DQ48;0;0;0;0;DQ48
100;DQ49;DQ49;DQ49;0;0;0;0;DQ49
101;VSS;VSS;VSS;0;0;0;0;VSS
102;DQS6#;DQS6#;DQS6#;0;0;0;0;DQS6#
103;DQS6;DQS6;DQS6;0;0;0;0;DQS6
104;VSS;VSS;VSS;0;0;0;0;VSS
105;DQ50;DQ50;DQ50;0;0;0;0;DQ50
106;DQ51;DQ51;DQ51;0;0;0;0;DQ51
107;VSS;VSS;VSS;0;0;0;0;VSS
108;DQ56;DQ56;DQ56;0;0;0;0;DQ56
109;DQ57;DQ57;DQ57;0;0;0;0;DQ57
110;VSS;VSS;VSS;0;0;0;0;VSS
111;DQS7#;DQS7#;DQS7#;0;0;0;0;DQS7#
112;DQS7;DQS7;DQS7;0;0;0;0;DQS7
113;VSS;VSS;VSS;0;0;0;0;VSS
114;DQ58;DQ58;DQ58;0;0;0;0;DQ58
115;DQ59;DQ59;DQ59;0;0;0;0;DQ59
116;VSS;VSS;VSS;0;0;0;0;VSS
117;SA0;SA0;SA0;0;0;0;0;SA0
118;SCL;SCL;SCL;0;0;0;0;SCL
119;SA2;SA2;SA2;0;0;0;0;SA2
120;VTT;VTT;VTT;0;0;0;0;VTT
121;VSS;VSS;VSS;0;0;0;0;VSS
122;DQ4;DQ4;DQ4;0;0;0;0;DQ4
123;DQ5;DQ5;DQ5;0;0;0;0;DQ5
124;VSS;VSS;VSS;0;0;0;0;VSS
125;DM0;DM0;DQS9;0;1;1;2;U:DM0/R:DQS9
126;NC;NC;DQS9#;0;1;1;2;U:NC/R:DQS9#
127;VSS;VSS;VSS;0;0;0;0;VSS
128;DQ6;DQ6;DQ6;0;0;0;0;DQ6
129;DQ7;DQ7;DQ7;0;0;0;0;DQ7
130;VSS;VSS;VSS;0;0;0;0;VSS
131;DQ12;DQ12;DQ12;0;0;0;0;DQ12
132;DQ13;DQ13;DQ13;0;0;0;0;DQ13
133;VSS;VSS;VSS;0;0;0;0;VSS
134;DM1;DM1;DQS10;0;1;1;2;U:DM1/R:DQS10
135;NC;NC;DQS10#;0;1;1;2;U:NC/R:DQS10#
136;VSS;VSS;VSS;0;0;0;0;VSS
137;DQ14;DQ14;DQ14;0;0;0;0;DQ14
138;DQ15;DQ15;DQ15;0;0;0;0;DQ15
139;VSS;VSS;VSS;0;0;0;0;VSS
140;DQ20;DQ20;DQ20;0;0;0;0;DQ20
141;DQ21;DQ21;DQ21;0;0;0;0;DQ21
142;VSS;VSS;VSS;0;0;0;0;VSS
143;DM2;DM2;DQS11;0;1;1;2;U:DM2/R:DQS11
144;NC;NC;DQS11#;0;1;1;2;U:NC/R:DQS11#
145;VSS;VSS;VSS;0;0;0;0;VSS
146;DQ22;DQ22;DQ22;0;0;0;0;DQ22
147;DQ23;DQ23;DQ23;0;0;0;0;DQ23
148;VSS;VSS;VSS;0;0;0;0;VSS
149;DQ28;DQ28;DQ28;0;0;0;0;DQ28
150;DQ29;DQ29;DQ29;0;0;0;0;DQ29
151;VSS;VSS;VSS;0;0;0;0;VSS
152;DM3;DM3;DQS12;0;1;1;2;U:DM3/R:DQS12
153;NC;NC;DQS12#;0;1;1;2;U:NC/R:DQS12#
154;VSS;VSS;VSS;0;0;0;0;VSS
155;DQ30;DQ30;DQ30;0;0;0;0;DQ30
156;DQ31;DQ31;DQ31;0;0;0;0;DQ31
157;VSS;VSS;VSS;0;0;0;0;VSS
158;CB4;NC;CB4;1;0;1;2;ECC:CB4/NCC:NC
159;CB5;NC;CB5;1;0;1;2;ECC:CB5/NCC:NC
160;VSS;VSS;VSS;0;0;0;0;VSS
161;DM8;NC;DQS17;1;1;1;3;UECC:DM8/UNCC:NC/R:DQS17
162;NC;NC;DQS17#;0;1;1;2;U:NC/R:DQS17#
163;VSS;VSS;VSS;0;0;0;0;VSS
164;CB6;NC;CB6;1;0;1;2;ECC:CB6/NCC:NC
165;CB7;NC;CB7;1;0;1;2;ECC:CB7/NCC:NC
166;VSS;VSS;VSS;0;0;0;0;VSS
167;NC;NC;NC;0;0;0;0;NC
168;RESET#;RESET#;RESET#;0;0;0;0;RESET#
169;CKE1;CKE1;CKE1;0;0;0;0;CKE1
170;VDD;VDD;VDD;0;0;0;0;VDD
171;NF/A15;NF/A15;A15;0;1;1;2;U:NF/A15/R:A15
172;A14;A14;A14;0;0;0;0;A14
173;VDD;VDD;VDD;0;0;0;0;VDD
174;A12;A12;A12;0;0;0;0;A12
175;A9;A9;A9;0;0;0;0;A9
176;VDD;VDD;VDD;0;0;0;0;VDD
177;A8;A8;A8;0;0;0;0;A8
178;A6;A6;A6;0;0;0;0;A6
179;VDD;VDD;VDD;0;0;0;0;VDD
180;A3;A3;A3;0;0;0;0;A3
181;A1;A1;A1;0;0;0;0;A1
182;VDD;VDD;VDD;0;0;0;0;VDD
183;VDD;VDD;VDD;0;0;0;0;VDD
184;CK0;CK0;CK0;0;0;0;0;CK0
185;CK0#;CK0#;CK0#;0;0;0;0;CK0#
186;VDD;VDD;VDD;0;0;0;0;VDD
187;EVENT#;NC;EVENT#;1;0;1;2;ECC:EVENT#/NCC:NC
188;A0;A0;A0;0;0;0;0;A0
189;VDD;VDD;VDD;0;0;0;0;VDD
190;BA1;BA1;BA1;0;0;0;0;BA1
191;VDD;VDD;VDD;0;0;0;0;VDD
192;RAS#;RAS#;RAS#;0;0;0;0;RAS#
193;S0#;S0#;S0#;0;0;0;0;S0#
194;VDD;VDD;VDD;0;0;0;0;VDD
195;ODT0;ODT0;ODT0;0;0;0;0;ODT0
196;A13;A13;A13;0;0;0;0;A13
197;VDD;VDD;VDD;0;0;0;0;VDD
198;NC;NC;S3#;0;1;1;2;U:NC/R:S3#
199;VSS;VSS;VSS;0;0;0;0;VSS
200;DQ36;DQ36;DQ36;0;0;0;0;DQ36
201;DQ37;DQ37;DQ37;0;0;0;0;DQ37
202;VSS;VSS;VSS;0;0;0;0;VSS
203;DM4;DM4;DQS13;0;1;1;2;U:DM4/R:DQS13
204;NC;NC;DQS13#;0;1;1;2;U:NC/R:DQS13#
205;VSS;VSS;VSS;0;0;0;0;VSS
206;DQ38;DQ38;DQ38;0;0;0;0;DQ38
207;DQ39;DQ39;DQ39;0;0;0;0;DQ39
208;VSS;VSS;VSS;0;0;0;0;VSS
209;DQ44;DQ44;DQ44;0;0;0;0;DQ44
210;DQ45;DQ45;DQ45;0;0;0;0;DQ45
211;VSS;VSS;VSS;0;0;0;0;VSS
212;DM5;DM5;DQS14;0;1;1;2;U:DM5/R:DQS14
213;NC;NC;DQS14#;0;1;1;2;U:NC/R:DQS14#
214;VSS;VSS;VSS;0;0;0;0;VSS
215;DQ46;DQ46;DQ46;0;0;0;0;DQ46
216;DQ47;DQ47;DQ47;0;0;0;0;DQ47
217;VSS;VSS;VSS;0;0;0;0;VSS
218;DQ52;DQ52;DQ52;0;0;0;0;DQ52
219;DQ53;DQ53;DQ53;0;0;0;0;DQ53
220;VSS;VSS;VSS;0;0;0;0;VSS
221;DM6;DM6;DQS15;0;1;1;2;U:DM6/R:DQS15
222;NC;NC;DQS15#;0;1;1;2;U:NC/R:DQS15#
223;VSS;VSS;VSS;0;0;0;0;VSS
224;DQ54;DQ54;DQ54;0;0;0;0;DQ54
225;DQ55;DQ55;DQ55;0;0;0;0;DQ55
226;VSS;VSS;VSS;0;0;0;0;VSS
227;DQ60;DQ60;DQ60;0;0;0;0;DQ60
228;DQ61;DQ61;DQ61;0;0;0;0;DQ61
229;VSS;VSS;VSS;0;0;0;0;VSS
230;DM7;DM7;DQS16;0;1;1;2;U:DM7/R:DQS16
231;NC;NC;DQS16#;0;1;1;2;U:NC/R:DQS16#
232;VSS;VSS;VSS;0;0;0;0;VSS
233;DQ62;DQ62;DQ62;0;0;0;0;DQ62
234;DQ63;DQ63;DQ63;0;0;0;0;DQ63
235;VSS;VSS;VSS;0;0;0;0;VSS
236;VDDSPD;VDDSPD;VDDSPD;0;0;0;0;VDDSPD
237;SA1;SA1;SA1;0;0;0;0;SA1
238;SDA;SDA;SDA;0;0;0;0;SDA
239;VSS;VSS;VSS;0;0;0;0;VSS
